# localizations for char/prov/opinion/MA modifiers, traits, religions, govtypes, cultures, etc.

# cultures
ca_workshop_mech2;Machine Shop;;;;;;;;;;;;;x
ca_workshop_mech2_desc;A metalworking shop that puts a handful of modern machine tools to use, and will allow the manufacture of certain valuable goods from spare parts.;;;;;;;;;;;;;x
ca_workshop_mech3;Precision Machine Shop;;;;;;;;;;;;;x
ca_workshop_mech3_desc;An advanced metalworking shop employing a broad array of tools: lathe, drill press, wire mill, press forge, and welder. Most advanced functions require a functional computer.;;;;;;;;;;;;;x
ca_workshop_book1;Library;;;;;;;;;;;;;x
ca_workshop_book1_desc;A collection of valuable tomes, especially manuals and treatises of modern knowledge.;;;;;;;;;;;;;x
ca_workshop_book2;Grand Library;;;;;;;;;;;;;x
ca_workshop_book2_desc;An extensive collection of books. In addition to many medieval texts, the grand library includes a set of manuals containing a great deal of modern technical, medical, and historical knowledge.;;;;;;;;;;;;;x
ca_workshop_book3;Printing Press;;;;;;;;;;;;;x
ca_workshop_book3_desc;A movable type printing press will vastly improve the speed at which information can be disseminated.;;;;;;;;;;;;;x
ca_workshop_arm1;Armory;;;;;;;;;;;;;x
ca_workshop_arm1_desc;The armory manufactures firearms, trains the elite soldiers who will wield them, and stores the weapons when not in use.;;;;;;;;;;;;;x
ca_workshop_arm2;Arsenal;;;;;;;;;;;;;x
ca_workshop_arm2_desc;A larger and more advanced facility for manufacturing firearms and training firearm troops.;;;;;;;;;;;;;x
ca_workshop_arm3;Headquarters;;;;;;;;;;;;;x
ca_workshop_arm3_desc;The headquarters is the most secret and well guarded building in the castle. Shortwave radios allow the inner circle to instantly communicate across vast distances, improving realm unity and providing a massive advantage against enemies who can't even conceive of the capability radio communication provides.;;;;;;;;;;;;;x
ca_workshop_bomb1;Defensive Bombards;;;;;;;;;;;;;x
ca_workshop_bomb1_desc;Heavy, mortar-like bombards devastate enemy forces that besiege the castle.;;;;;;;;;;;;;x
ca_workshop_agri1;Modern Crops;;;;;;;;;;;;;x
ca_workshop_agri1_desc;Modern and New World crops give nearby lands a massive agricultural boost. Modern varieties of wheat, barley, corn, potato, tomato, tobacco, hemp, and flax will be cultivated.;;;;;;;;;;;;;x
ca_workshop_agri2;Paperworks;;;;;;;;;;;;;x
ca_workshop_agri2_desc;The paperworks turns plant fiber into rare and valuable paper.;;;;;;;;;;;;;x
ca_workshop_agri3;Textile Mill;;;;;;;;;;;;;x
ca_workshop_agri3_desc;The textile mill produces a large quantity of cloth, with quality uniformly above what could be done by hand.;;;;;;;;;;;;;x



















